Year,Fertility Rate (Births Per Woman)
2024,1.79
2023,1.62
2022,1.66
2021,1.66
2020,1.64
2019,1.71
2018,1.73
2017,1.77
2016,1.82
2015,1.84
2014,1.86
2013,1.86
2012,1.88
2011,1.89
2010,1.93
2009,2
2008,2.07
2007,2.12
2006,2.11
2005,2.06
2004,2.05
2003,2.05
2002,2.02
2001,2.03
2000,2.06
1999,2.01
1998,2
1997,1.97
1996,1.98
1995,1.98
1994,2
1993,2.02
1992,2.05
1991,2.06
1990,2.08
1989,2.01
1988,1.93
1987,1.87
1986,1.84
1985,1.84
1984,1.81
1983,1.8
1982,1.83
1981,1.81
1980,1.84
1979,1.81
1978,1.76
1977,1.79
1976,1.74
1975,1.77
1974,1.84
1973,1.88
1972,2.01
1971,2.27
1970,2.48
1969,2.46
1968,2.46
1967,2.56
1966,2.72
1965,2.91
1964,3.19
1963,3.32
1962,3.46
1961,3.62
1960,3.65
1959,3.51
1958,3.58
1957,3.53
1956,3.47
1955,3.42
1954,3.37
1953,3.31
1952,3.26
1951,3.2
1950,3.15
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Footnotes:,
"1/ Changes were made to data processing in 2012 which affected estimates of childlessness.  For additional details, see 
<www.census.gov/library/working-papers/2015/demo/SEHSD-WP2015-04.html>.",
"2/ Counts for 2002 were corrected September 8, 2014.",
3/ 18 to 44 years old.,
4/ 18 to 24 years old.,
5/ Not Available after 2010.,
N = Not available.,
,
,
