time_period,state,population,cohort,point_estimate,map_group,Expanded
2023,United States,all,All,5.04,No Data,
2023,Alabama,all,All,6.58,Bottom Performing States,0
2023,Alaska,all,All,3.55,Middle Performing States,1
2023,Arizona,all,All,5.37,Middle Performing States,1
2023,Arkansas,all,All,7.05,Bottom Performing States,1
2023,California,all,All,2.84,Top Performing States,1
2023,Colorado,all,All,,Top Performing States,1
2023,Connecticut,all,All,3.45,Middle Performing States,1
2023,Delaware,all,All,7.39,Bottom Performing States,1
2023,District of Columbia,all,All,1.74,Top Performing States,1
2023,Florida,all,All,6.67,Bottom Performing States,0
2023,Georgia,all,All,7.86,Bottom Performing States,0
2023,Hawaii,all,All,1.2,Top Performing States,1
2023,Idaho,all,All,3.25,Top Performing States,1
2023,Illinois,all,All,5.31,Middle Performing States,1
2023,Indiana,all,All,6.41,Bottom Performing States,1
2023,Iowa,all,All,3.56,Middle Performing States,1
2023,Kansas,all,All,6.11,Middle Performing States,0
2023,Kentucky,all,All,5.66,Middle Performing States,1
2023,Louisiana,all,All,8.12,Bottom Performing States,1
2023,Maine,all,All,6.41,Bottom Performing States,1
2023,Maryland,all,All,3.73,Middle Performing States,1
2023,Massachusetts,all,All,1.37,Top Performing States,1
2023,Michigan,all,All,3.46,Middle Performing States,1
2023,Minnesota,all,All,0.73,Top Performing States,1
2023,Mississippi,all,All,6.15,Middle Performing States,0
2023,Missouri,all,All,6.66,Bottom Performing States,1
2023,Montana,all,All,4.2,Middle Performing States,1
2023,Nebraska,all,All,2.36,Top Performing States,1
2023,Nevada,all,All,7.14,Bottom Performing States,1
2023,New Hampshire,all,All,2.4,Top Performing States,1
2023,New Jersey,all,All,3.49,Middle Performing States,1
2023,New Mexico,all,All,5.89,Middle Performing States,1
2023,New York,all,All,1.65,Top Performing States,1
2023,North Carolina,all,All,8.46,Bottom Performing States,1
2023,North Dakota,all,All,2.45,Top Performing States,1
2023,Ohio,all,All,6.26,Middle Performing States,1
2023,Oklahoma,all,All,10.13,Bottom Performing States,1
2023,Oregon,all,All,1.46,Top Performing States,1
2023,Pennsylvania,all,All,3.38,Middle Performing States,1
2023,Rhode Island,all,All,1.48,Top Performing States,1
2023,South Carolina,all,All,9.11,Bottom Performing States,0
2023,South Dakota,all,All,1.41,Top Performing States,1
2023,Tennessee,all,All,7.44,Bottom Performing States,0
2023,Texas,all,All,8.9,Bottom Performing States,0
2023,Utah,all,All,2.37,Top Performing States,1
2023,Vermont,all,All,1.15,Top Performing States,1
2023,Virginia,all,All,6.22,Middle Performing States,1
2023,Washington,all,All,1.44,Top Performing States,1
2023,West Virginia,all,All,6.71,Bottom Performing States,1
2023,Wisconsin,all,All,5.15,Middle Performing States,0
2023,Wyoming,all,All,9.99,Bottom Performing States,0
